"","layer","nn_names"
"1",1,"NN_3_14"
"2",2,"NN_4_14"
"3",3,"NN_5_14"
"4",4,"NN_6_14"
"5",5,"NN_7_14"
"6",6,"NN_8_14"
"7",7,"NN_9_14"
"8",8,"NN_10_14"
"9",9,"NN_11_14"
"10",10,"NN_12_14"
"11",11,"NN_3_15"
"12",12,"NN_4_15"
"13",13,"NN_5_15"
"14",14,"NN_6_15"
"15",15,"NN_7_15"
"16",16,"NN_8_15"
"17",17,"NN_9_15"
"18",18,"NN_10_15"
"19",19,"NN_11_15"
"20",20,"NN_12_15"
"21",21,"NN_1_16"
"22",22,"NN_2_16"
"23",23,"NN_3_16"
"24",24,"NN_4_16"
"25",25,"NN_5_16"
"26",26,"NN_6_16"
"27",27,"NN_7_16"
"28",28,"NN_8_16"
"29",29,"NN_9_16"
"30",30,"NN_10_16"
"31",31,"NN_11_16"
"32",32,"NN_12_16"
"33",33,"NN_1_17"
"34",34,"NN_2_17"
"35",35,"NN_3_17"
"36",36,"NN_4_17"
"37",37,"NN_5_17"
"38",38,"NN_6_17"
"39",39,"NN_7_17"
"40",40,"NN_8_17"
"41",41,"NN_9_17"
"42",42,"NN_10_17"
"43",43,"NN_11_17"
"44",44,"NN_12_17"
"45",45,"NN_1_18"
"46",46,"NN_2_18"
"47",47,"NN_3_18"
"48",48,"NN_4_18"
"49",49,"NN_5_18"
"50",50,"NN_6_18"
"51",51,"NN_7_18"
"52",52,"NN_8_18"
"53",53,"NN_9_18"
"54",54,"NN_10_18"
"55",55,"NN_11_18"
"56",56,"NN_12_18"
