"","PM25"
"1",10.1309320887446
"2",8.49426452784504
"3",7.55968398119019
"4",15.5863205723544
"5",7.42524675978845
"6",6.94941598727654
"7",9.737296433725
"8",6.43807252776209
"9",4.736482420019
"10",10.9421626984127
"11",9.4450051199663
"12",7.79876255507777
"13",8.70053067658837
"14",8.10582482993197
"15",7.36419013312396
"16",6.01685364039026
"17",12.1891248551085
"18",7.72621176926055
"19",13.5307125368172
"20",19.3121924128503
"21",15.1527056277056
"22",13.8193495883202
"23",9.20311514821057
"24",9.85017815926038
"25",9.77642971064024
"26",7.97263898382319
"27",8.00789931672641
"28",6.84397044627529
"29",6.33505867470766
"30",9.16090411604524
"31",10.152107816426
"32",7.4913973431149
"33",5.77362623324388
"34",12.72253968
"35",12.81198413
"36",12.49384127
"37",10.60285714
"38",9.414761905
"39",9.971619048
"40",10.9852381
"41",11.70285714
"42",12.22761905
"43",11.69142857
"44",11.1752381
"45",12.40285714
"46",13.02952381
"47",14.85142857
"48",16.8952381
"49",17.38650794
"50",18.3152381
"51",18.19085714
"52",16.65238095
"53",15.09657143
"54",11.90514286
"55",9.161333333
"56",8.632380952
"57",8.411238095
"58",9.247238095
"59",10.0367619
"60",9.924571429
"61",9.706285714
"62",9.433142857
"63",9.694444444
"64",9.684190476
"65",9.186825397
"66",8.539301587
"67",8.654047619
"68",9.150238095
"69",10.17928571
"70",9.73047619
"71",8.682619048
"72",8.412190476
"73",9.377619048
"74",9.994285714
"75",9.845714286
"76",8.714285714
"77",7.99952381
"78",8.154126984
"79",8.843492063
"80",8.272857143
"81",7.446825397
"82",7.392063492
"83",7.688412698
"84",9.125174603
"85",10.18190476
"86",10.62333333
"87",11.24428571
"88",12.4315873
"89",12.55126984
"90",12.07365079
"91",11.25952381
"92",12.29015873
"93",12.58904762
"94",12.42285714
"95",12.40047619
"96",13.61666667
"97",15.19952381
"98",16.12428571
"99",14.50238095
"100",13.60047619
"101",12.90571429
"102",12.78285714
"103",11.41904762
"104",9.651428571
"105",8.140952381
"106",7.587619048
"107",7.09952381
"108",7.542857143
"109",7.767619048
"110",9.367301587
"111",11.86031746
"112",12.96301587
"113",13.31507937
"114",13.11142857
"115",12.74285714
"116",11.27047619
"117",9.254285714
"118",8.706666667
"119",10.3247619
"120",11.96857143
"121",13.32952381
"122",14.35428571
"123",15.08380952
"124",15.60952381
"125",14.66761905
"126",12.99047619
"127",11.3247619
"128",10.06206349
